index,pid,plant_name,Date,Depth_mm,IrrigationGroup,Time_hr
179,1,Guayule MAC D100 2018,2018-09-30 00:00:00,12,a,2
180,1,Guayule MAC D100 2018,2018-10-04 00:00:00,12,a,2
181,1,Guayule MAC D100 2018,2018-10-28 00:00:00,31,a,2
182,1,Guayule MAC D100 2018,2018-10-30 00:00:00,31,a,2
183,1,Guayule MAC D100 2018,2018-11-01 00:00:00,12,a,2
184,1,Guayule MAC D100 2018,2018-11-03 00:00:00,24,a,2
185,1,Guayule MAC D100 2018,2018-11-07 00:00:00,12,a,2
186,1,Guayule MAC D100 2018,2018-11-10 00:00:00,12,a,2
187,1,Guayule MAC D100 2018,2018-11-13 00:00:00,12,a,2
188,1,Guayule MAC D100 2018,2018-11-15 00:00:00,12,a,2
189,1,Guayule MAC D100 2018,2019-02-13 00:00:00,14.47,a,2
190,1,Guayule MAC D100 2018,2019-02-16 00:00:00,7.23333,a,2
191,1,Guayule MAC D100 2018,2019-02-17 00:00:00,10.3,a,2
192,1,Guayule MAC D100 2018,2019-02-21 00:00:00,10.3,a,2
193,1,Guayule MAC D100 2018,2019-03-19 00:00:00,10.05240568,a,2
194,1,Guayule MAC D100 2018,2019-03-20 00:00:00,9.973091712,a,2
195,1,Guayule MAC D100 2018,2019-03-21 00:00:00,10.12916113,a,2
196,1,Guayule MAC D100 2018,2019-03-22 00:00:00,9.89121923,a,2
197,1,Guayule MAC D100 2018,2019-03-23 00:00:00,9.440920579,a,2
198,1,Guayule MAC D100 2018,2019-03-27 00:00:00,10.1,a,2
199,1,Guayule MAC D100 2018,2019-03-28 00:00:00,10.1,a,2
200,1,Guayule MAC D100 2018,2019-04-02 00:00:00,9.4,a,2
201,1,Guayule MAC D100 2018,2019-04-03 00:00:00,9.4,a,2
202,1,Guayule MAC D100 2018,2019-04-04 00:00:00,9.4,a,2
203,1,Guayule MAC D100 2018,2019-04-07 00:00:00,9.4,a,2
204,1,Guayule MAC D100 2018,2019-04-10 00:00:00,12.5,a,2
205,1,Guayule MAC D100 2018,2019-04-12 00:00:00,9.4,a,2
206,1,Guayule MAC D100 2018,2019-04-13 00:00:00,9.4,a,2
207,1,Guayule MAC D100 2018,2019-04-14 00:00:00,9.4,a,2
208,1,Guayule MAC D100 2018,2019-04-15 00:00:00,9.8,a,2
209,1,Guayule MAC D100 2018,2019-04-18 00:00:00,9.5,a,2
210,1,Guayule MAC D100 2018,2019-04-19 00:00:00,9.5,a,2
211,1,Guayule MAC D100 2018,2019-04-20 00:00:00,9.5,a,2
212,1,Guayule MAC D100 2018,2019-04-22 00:00:00,9.9,a,2
213,1,Guayule MAC D100 2018,2019-04-23 00:00:00,14.4,a,2
214,1,Guayule MAC D100 2018,2019-04-24 00:00:00,14.4,a,2
215,1,Guayule MAC D100 2018,2019-04-25 00:00:00,14.3,a,2
216,1,Guayule MAC D100 2018,2019-04-28 00:00:00,13.9,a,2
217,1,Guayule MAC D100 2018,2019-04-29 00:00:00,14,a,2
218,1,Guayule MAC D100 2018,2019-04-30 00:00:00,13.7,a,2
219,1,Guayule MAC D100 2018,2019-05-01 00:00:00,13.9,a,2
220,1,Guayule MAC D100 2018,2019-05-02 00:00:00,14,a,2
221,1,Guayule MAC D100 2018,2019-05-03 00:00:00,14,a,2
222,1,Guayule MAC D100 2018,2019-05-08 00:00:00,13.8,a,2
223,1,Guayule MAC D100 2018,2019-05-09 00:00:00,13.7,a,2
224,1,Guayule MAC D100 2018,2019-05-10 00:00:00,13.7,a,2
225,1,Guayule MAC D100 2018,2019-05-11 00:00:00,13.7,a,2
226,1,Guayule MAC D100 2018,2019-05-12 00:00:00,13.7,a,2
227,1,Guayule MAC D100 2018,2019-05-14 00:00:00,9.5,a,2
228,1,Guayule MAC D100 2018,2019-05-15 00:00:00,9.5,a,2
229,1,Guayule MAC D100 2018,2019-05-16 00:00:00,9.5,a,2
230,1,Guayule MAC D100 2018,2019-05-17 00:00:00,9.5,a,2
231,1,Guayule MAC D100 2018,2019-05-18 00:00:00,9.5,a,2
232,1,Guayule MAC D100 2018,2019-05-19 00:00:00,9.5,a,2
233,1,Guayule MAC D100 2018,2019-05-21 00:00:00,9.4,a,2
234,1,Guayule MAC D100 2018,2019-05-22 00:00:00,9.4,a,2
235,1,Guayule MAC D100 2018,2019-05-23 00:00:00,9.4,a,2
236,1,Guayule MAC D100 2018,2019-05-24 00:00:00,10,a,2
237,1,Guayule MAC D100 2018,2019-05-27 00:00:00,13.9,a,2
238,1,Guayule MAC D100 2018,2019-05-28 00:00:00,13.9,a,2
239,1,Guayule MAC D100 2018,2019-05-29 00:00:00,13.9,a,2
240,1,Guayule MAC D100 2018,2019-05-30 00:00:00,13.9,a,2
241,1,Guayule MAC D100 2018,2019-05-31 00:00:00,13.9,a,2
242,1,Guayule MAC D100 2018,2019-06-03 00:00:00,11.4,a,2
243,1,Guayule MAC D100 2018,2019-06-04 00:00:00,11.4,a,2
244,1,Guayule MAC D100 2018,2019-06-05 00:00:00,11.4,a,2
245,1,Guayule MAC D100 2018,2019-06-06 00:00:00,11.4,a,2
246,1,Guayule MAC D100 2018,2019-06-07 00:00:00,11.4,a,2
247,1,Guayule MAC D100 2018,2019-06-08 00:00:00,11.4,a,2
248,1,Guayule MAC D100 2018,2019-06-09 00:00:00,11.4,a,2
249,1,Guayule MAC D100 2018,2019-06-10 00:00:00,16.2,a,2
250,1,Guayule MAC D100 2018,2019-06-11 00:00:00,16.2,a,2
251,1,Guayule MAC D100 2018,2019-06-12 00:00:00,16.2,a,2
252,1,Guayule MAC D100 2018,2019-06-13 00:00:00,16.2,a,2
253,1,Guayule MAC D100 2018,2019-06-14 00:00:00,16.2,a,2
254,1,Guayule MAC D100 2018,2019-06-15 00:00:00,16.2,a,2
255,1,Guayule MAC D100 2018,2019-06-17 00:00:00,11,a,2
256,1,Guayule MAC D100 2018,2019-06-18 00:00:00,11,a,2
257,1,Guayule MAC D100 2018,2019-06-19 00:00:00,11,a,2
258,1,Guayule MAC D100 2018,2019-06-20 00:00:00,11,a,2
259,1,Guayule MAC D100 2018,2019-06-21 00:00:00,11,a,2
260,1,Guayule MAC D100 2018,2019-06-22 00:00:00,11,a,2
261,1,Guayule MAC D100 2018,2019-06-24 00:00:00,9.2,a,2
262,1,Guayule MAC D100 2018,2019-06-25 00:00:00,9.2,a,2
263,1,Guayule MAC D100 2018,2019-06-26 00:00:00,9.2,a,2
264,1,Guayule MAC D100 2018,2019-06-27 00:00:00,9.2,a,2
265,1,Guayule MAC D100 2018,2019-06-28 00:00:00,9.2,a,2
266,1,Guayule MAC D100 2018,2019-06-29 00:00:00,9.2,a,2
267,1,Guayule MAC D100 2018,2019-06-30 00:00:00,9.2,a,2
268,1,Guayule MAC D100 2018,2019-07-01 00:00:00,22.2,a,2
269,1,Guayule MAC D100 2018,2019-07-02 00:00:00,17.1,a,2
270,1,Guayule MAC D100 2018,2019-07-03 00:00:00,17,a,2
271,1,Guayule MAC D100 2018,2019-07-04 00:00:00,25.4,a,2
272,1,Guayule MAC D100 2018,2019-07-05 00:00:00,25.4,a,2
273,1,Guayule MAC D100 2018,2019-07-07 00:00:00,24.3,a,2
274,1,Guayule MAC D100 2018,2019-07-08 00:00:00,5.8,a,2
275,1,Guayule MAC D100 2018,2019-07-09 00:00:00,5.8,a,2
276,1,Guayule MAC D100 2018,2019-07-10 00:00:00,5.8,a,2
277,1,Guayule MAC D100 2018,2019-07-11 00:00:00,24,a,2
278,1,Guayule MAC D100 2018,2019-07-12 00:00:00,27.1,a,2
279,1,Guayule MAC D100 2018,2019-07-16 00:00:00,11.2,a,2
280,1,Guayule MAC D100 2018,2019-07-17 00:00:00,11.2,a,2
281,1,Guayule MAC D100 2018,2019-07-18 00:00:00,11.2,a,2
282,1,Guayule MAC D100 2018,2019-07-19 00:00:00,10.8,a,2
283,1,Guayule MAC D100 2018,2019-07-20 00:00:00,10.8,a,2
284,1,Guayule MAC D100 2018,2019-07-21 00:00:00,10.8,a,2
285,1,Guayule MAC D100 2018,2019-07-22 00:00:00,11.1,a,2
286,1,Guayule MAC D100 2018,2019-07-24 00:00:00,11,a,2
287,1,Guayule MAC D100 2018,2019-07-25 00:00:00,11,a,2
288,1,Guayule MAC D100 2018,2019-07-26 00:00:00,13.1,a,2
289,1,Guayule MAC D100 2018,2019-07-27 00:00:00,13.1,a,2
290,1,Guayule MAC D100 2018,2019-07-28 00:00:00,13.1,a,2
291,1,Guayule MAC D100 2018,2019-07-30 00:00:00,10,a,2
292,1,Guayule MAC D100 2018,2019-07-31 00:00:00,10,a,2
293,1,Guayule MAC D050 2018,2018-04-20 00:00:00,22,a,2
294,1,Guayule MAC D050 2018,2018-04-21 00:00:00,21,a,2
295,1,Guayule MAC D050 2018,2018-04-22 00:00:00,10.5,a,2
296,1,Guayule MAC D050 2018,2018-04-23 00:00:00,10,a,2
297,1,Guayule MAC D050 2018,2018-04-24 00:00:00,6,a,2
298,1,Guayule MAC D050 2018,2018-04-25 00:00:00,7.5,a,2
299,1,Guayule MAC D050 2018,2018-04-26 00:00:00,19.5,a,2
300,1,Guayule MAC D050 2018,2018-04-27 00:00:00,30,a,2
301,1,Guayule MAC D050 2018,2018-04-28 00:00:00,5.5,a,2
302,1,Guayule MAC D050 2018,2018-04-29 00:00:00,3,a,2
303,1,Guayule MAC D050 2018,2018-04-30 00:00:00,3,a,2
304,1,Guayule MAC D050 2018,2018-05-01 00:00:00,4,a,2
305,1,Guayule MAC D050 2018,2018-05-03 00:00:00,6.1,a,2
306,1,Guayule MAC D050 2018,2018-05-05 00:00:00,7.4,a,2
307,1,Guayule MAC D050 2018,2018-05-07 00:00:00,7.4,a,2
308,1,Guayule MAC D050 2018,2018-05-09 00:00:00,7.4,a,2
309,1,Guayule MAC D050 2018,2018-05-11 00:00:00,7.4,a,2
310,1,Guayule MAC D050 2018,2018-05-13 00:00:00,7.4,a,2
311,1,Guayule MAC D050 2018,2018-05-16 00:00:00,5.95,a,2
312,1,Guayule MAC D050 2018,2018-05-17 00:00:00,7.4,a,2
313,1,Guayule MAC D050 2018,2018-05-19 00:00:00,7.4,a,2
314,1,Guayule MAC D050 2018,2018-05-21 00:00:00,7.5,a,2
315,1,Guayule MAC D050 2018,2018-05-22 00:00:00,8.5,a,2
316,1,Guayule MAC D050 2018,2018-05-26 00:00:00,7.5,a,2
317,1,Guayule MAC D050 2018,2018-05-28 00:00:00,7.5,a,2
318,1,Guayule MAC D050 2018,2018-05-29 00:00:00,5,a,2
319,1,Guayule MAC D050 2018,2018-05-30 00:00:00,5,a,2
320,1,Guayule MAC D050 2018,2018-05-31 00:00:00,7.5,a,2
321,1,Guayule MAC D050 2018,2018-06-01 00:00:00,7.5,a,2
